"cin","cout","title","deweyClass","itemtype"
"2007-06-27 12:59:00","2007-06-09 10:18:00","Minimal Perl for UNIX and Linux people","005.71262","acbk"
"2007-06-29 17:48:00","2007-06-07 17:43:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2007-06-29 17:48:00","2007-06-13 17:53:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2007-07-02 16:28:00","2007-06-18 13:49:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2007-07-02 17:00:00","2007-06-26 18:57:00","Minimal Perl for UNIX and Linux people","005.71262","acbk"
"2007-07-05 15:42:00","2007-05-04 17:11:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2007-07-19 16:02:00","2007-07-01 12:51:00","Advanced Perl programming","005.133","acbk"
"2007-07-23 15:49:00","2007-05-27 13:00:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2007-07-24 16:29:00","2007-06-12 19:47:00","Advanced Perl programming","005.133","acbk"
"2007-07-25 14:26:00","2007-06-18 13:49:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2007-07-27 12:17:00","2007-06-26 18:57:00","Minimal Perl for UNIX and Linux people","005.71262","acbk"
"2007-07-28 11:51:00","2006-09-07 13:44:00","Writing Apache modules with Perl and C","005.71376","acbk"
"2007-07-30 14:07:00","2006-09-07 13:44:00","Writing Apache modules with Perl and C","005.71376","acbk"
"2007-07-31 15:02:00","2007-06-07 17:43:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2007-08-01 15:32:00","2007-07-26 16:18:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2007-08-01 15:32:00","2007-07-26 16:18:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2007-08-03 15:08:00","2007-06-07 17:43:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2007-08-03 15:23:00","2007-05-21 19:56:00","Computer science and Perl programming best of the Perl Journal","005.133","acbk"
"2007-08-04 13:54:00","2007-07-26 14:39:00","Programming the Perl DBI","005.74","acbk"
"2007-08-06 10:11:00","2007-07-23 10:51:00","Minimal Perl for UNIX and Linux people","005.71262","acbk"
"2007-08-06 11:46:00","2007-04-14 13:07:00","Learn Perl in a weekend","005.133","acbk"
"2007-08-08 12:11:00","2007-06-07 17:43:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2007-08-08 14:58:00","2007-07-26 16:18:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2007-08-10 12:02:00","2007-07-26 16:18:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2007-08-14 10:16:00","2007-07-26 16:18:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2007-08-15 12:46:00","2007-07-26 16:18:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2007-08-23 14:00:00","2007-08-01 18:04:00","Minimal Perl for UNIX and Linux people","005.71262","acbk"
"2007-08-31 15:00:00","2007-08-10 16:21:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2007-09-03 00:00:00","2007-06-04 12:25:00","Effective Perl programming writing better programs with Perl","005.133","acbk"
"2007-09-04 19:09:00","2007-07-31 16:32:00","Writing Apache modules with Perl and C","005.71376","acbk"
"2007-09-11 19:50:00","2007-08-13 15:30:00","Advanced Perl programming","005.133","acbk"
"2007-09-20 11:58:00","2007-08-10 16:21:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2007-09-20 15:24:00","2007-08-31 11:47:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2007-09-22 17:07:00","2007-08-19 17:39:00","Writing Apache modules with Perl and C","005.71376","acbk"
"2007-09-22 17:07:00","2007-08-19 17:39:00","Learning Perl objects references and modules","005.133","acbk"
"2007-09-22 17:07:00","2007-08-16 18:35:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2007-09-26 11:56:00","2007-08-13 10:59:00","Learning Perl Tk","005.133","acbk"
